"","UNIVERSITY.NAME","STATUS","TARGET.MAJOR","TERM","GRE.Q.","GRE.V.","GRE.AWA.","GRE.TOTAL.","TOEFL","UG.COLLEGE","UG.MAJOR","CGPA","PAPERS","WORK.EXPERIENCE.M."
"388","Columbia University","Reject","AI_ML_DS","Fall 2019",170,158,3,328,106,"IIT Kharagpur","Mechanical Engineering",8.17,0,30
"389","Oregon State University","Reject","AI_ML_DS","Fall 2019",165,154,3.5,319,105,"IIT Kharagpur","Aeronautical Engineering",7.24,0,0
"390","University of Washington","Reject","AI_ML_DS","Fall 2019",169,152,4,321,118,"IIT Kharagpur","Electrical Engineering",8.86,1,0
"391","University of Washington","Admit","Mechanical Engineering","Fall 2019",170,149,4,319,107,"IIT Kharagpur","Metallurgical Engineering",7,0,0
"392","Columbia University","Reject","AI_ML_DS","Fall 2019",168,154,3.5,322,108,"IIT Kharagpur","Mechanical Engineering",8.08,0,18
"393","University of Wisconsin, Madison","Reject","Computer Science","Fall 2019",169,155,3,324,101,"IIT Kharagpur","Computer Science",8.44,0,0
"394","Carnegie Mellon University","Admit","Computer Science","Fall 2018",167,160,4.5,327,114,"IIT Kharagpur","Electrical Engineering",8.5,0,0
"395","Texas A&M University, College Station","Admit","Mechanical Engineering","Fall 2019",169,150,4,319,104,"IIT Kharagpur","Aeronautical Engineering",8.87,0,0
"396","Carnegie Mellon University","Reject","Computer Science","Fall 2019",170,154,4,324,112,"IIT Kharagpur","Computer Science",8.27,0,54
"397","Georgia Institute of Technology","Reject","Computer Science","Fall 2020",170,146,3,316,100,"IIT Kharagpur","Electrical Engineering",8.21,0,29
"398","Oregon State University","Reject","AI_ML_DS","Fall 2019",170,157,4,327,109,"IIT Kharagpur","Mechanical Engineering",9.4,0,0
"399","Rice University","Admit","Electrical Engineering","Fall 2016",166,161,4,327,109,"IIT Kharagpur","Electrical Engineering",8,0,0
"400","University of Illinois, Urbana Champaign","Reject","Mechanical Engineering","Fall 2018",168,166,4,334,116,"IIT Kharagpur","Mechanical Engineering",7.85,0,41
"401","University of Minnesota, Twin Cities","Reject","AI_ML_DS","Fall 2019",170,155,4,325,110,"IIT Kharagpur","Computer Science",7.56,0,15
"402","Massachusetts Institute of Technology","Reject","Mechanical Engineering","Fall 2018",168,166,4,334,116,"IIT Kharagpur","Mechanical Engineering",7.85,0,41
"403","University of Texas, Austin","Reject","Business Studies","Fall 2019",168,152,3.5,320,103,"IIT Kharagpur","Chemistry",7.25,0,0
"404","University of California, Berkeley","Reject","Computer Science","Fall 2019",170,160,5.5,330,115,"IIT Kharagpur","Computer Science",9.6,0,0
"405","University of Southern California","Reject","Computer Science","Fall 2019",169,156,4,325,105,"IIT Kharagpur","Agriculture",7.58,0,10
"406","University of California, San Diego","Admit","AI_ML_DS","Fall 2019",169,152,4,321,118,"IIT Kharagpur","Electrical Engineering",8.86,1,0
"407","Columbia University","Reject","AI_ML_DS","Fall 2019",170,154,4,324,112,"IIT Kharagpur","Mathematics",7.38,0,18
"408","Worcester Polytechnic Institute","Admit","AI_ML_DS","Fall 2019",170,157,4,327,109,"IIT Kharagpur","Mechanical Engineering",9.4,0,0
"409","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2019",169,152,4,321,118,"IIT Kharagpur","Electrical Engineering",8.86,1,0
"410","University of Toronto","Admit","Computer Science","Fall 2018",170,157,3.5,327,109,"IIT Kharagpur","Biotechnology",9.29,0,0
"411","Carnegie Mellon University","Reject","AI_ML_DS","Fall 2019",169,155,3,324,101,"IIT Kharagpur","Computer Science",8.44,0,0
"412","University of California, Irvine","Admit","Computer Science","Fall 2019",170,155,4,325,110,"IIT Kharagpur","Computer Science",7.56,0,15
"413","University of California, San Diego","Admit","Computer Science","Fall 2019",168,160,4.5,328,112,"IIT Kharagpur","Electrical Engineering",9.13,0,1
"414","Columbia University","Reject","Mechanical Engineering","Fall 2018",168,166,4,334,116,"IIT Kharagpur","Mechanical Engineering",7.85,0,41
"415","University of Texas, Austin","Reject","Mechanical Engineering","Fall 2020",170,147,3.5,317,103,"IIT Kharagpur","Mechanical Engineering",7.3,0,0
"416","University of Illinois, Urbana Champaign","Admit","Management Studies","Fall 2019",170,146,0,316,105,"IIT Kharagpur","Electrical Engineering",7.7,0,30
"417","Carnegie Mellon University","Reject","Computer Science","Fall 2020",169,155,4,324,109,"IIT Kharagpur","Electrical Engineering",8.26,0,18
"418","University of Texas, Dallas","Admit","Computer Science","Fall 2018",169,155,3,324,109,"IIT Kharagpur","Civil Engineering",7.84,0,53
"419","University of Texas, Austin","Reject","Computer Science","Fall 2019",170,154,4,324,112,"IIT Kharagpur","Computer Science",8.27,0,54
"420","University of Minnesota, Twin Cities","Admit","Computer Science","Fall 2017",165,156,4,321,112,"IIT Kharagpur","Electrical Engineering",8.13,0,0
"421","ETH Zurich","Reject","Computer Science","Fall 2020",167,155,3.5,322,110,"IIT Kharagpur","Computer Science",8.8,0,0
"422","Ohio State University","Reject","Computer Science","Fall 2020",168,153,4,321,102,"IIT Kharagpur","Aeronautical Engineering",7.71,0,42
"423","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2020",169,155,4,324,109,"IIT Kharagpur","Electrical Engineering",8.26,0,18
"424","University of California, Davis","Reject","Computer Science","Fall 2019",167,152,3,319,104,"IIT Kharagpur","Mechanical Engineering",7.83,0,30
"425","Pennsylvania State University","Admit","Chemical Engineering","Fall 2017",164,150,4.5,314,105,"IIT Kharagpur","Chemical Engineering",8.81,0,0
"426","Georgia Institute of Technology","Reject","Mechanical Engineering","Fall 2020",168,158,3.5,326,110,"IIT Kharagpur","Aeronautical Engineering",8.35,0,0
"427","North Carolina State University","Admit","Mechanical Engineering","Fall 2018",168,166,4,334,116,"IIT Kharagpur","Mechanical Engineering",7.85,0,41
"428","University of Minnesota, Twin Cities","Admit","Business Studies","Fall 2019",168,152,3.5,320,103,"IIT Kharagpur","Chemistry",7.25,0,0
"429","University of Illinois, Urbana Champaign","Reject","Aerospace Engineering","Fall 2019",169,150,4,319,104,"IIT Kharagpur","Aeronautical Engineering",8.87,0,0
"430","Columbia University","Admit","Management Studies","Fall 2018",169,159,4.5,328,110,"IIT Kharagpur","Mechanical Engineering",8.94,0,0
"431","University of Texas, Austin","Admit","Business Studies","Fall 2019",169,162,4,331,106,"IIT Roorkee","Chemical Engineering",8.57,0,16
"432","Purdue University, West Lafayette","Reject","Business Studies","Fall 2019",164,155,4,319,110,"IIT Roorkee","Biotechnology",7.48,0,30
"433","University of Illinois, Chicago","Reject","Computer Science","Fall 2018",165,160,4.5,325,114,"IIT Roorkee","Computer Science",6.65,2,30
"434","Delft University of Technology","Admit","Mechanical Engineering","Fall 2020",170,166,4.5,336,117,"IIT Roorkee","Mechanical Engineering",8.86,0,6
"435","New York University","Admit","Computer Science","Fall 2020",168,160,4.5,328,100,"IIT Roorkee","Electrical Engineering",7.61,1,31
"436","Texas A&M University, College Station","Admit","Mechanical Engineering","Fall 2019",167,156,3,323,104,"IIT Roorkee","Mechanical Engineering",9.18,0,30
"437","University of Maryland, College Park","Reject","AI_ML_DS","Fall 2019",170,155,3,325,108,"IIT Roorkee","Mechanical Engineering",8.46,0,0
"438","University of Washington","Admit","Materials Science & Engineering","Fall 2017",169,161,3.5,330,119,"IIT Roorkee","Mechanical Engineering",8.7,0,0
"439","University of Illinois, Urbana Champaign","Reject","Mechanical Engineering","Fall 2018",167,152,4,319,99,"IIT Roorkee","Mechanical Engineering",5.7,0,0
"440","Ohio State University","Reject","Computer Science","Fall 2016",169,155,3.5,324,106,"IIT Roorkee","Computer Science",8.19,0,0
"441","New York University","Admit","Computer Science","Fall 2017",170,155,3,325,110,"IIT Roorkee","Electrical Engineering",7.5,0,0
"442","Texas A&M University, College Station","Admit","Computer Science","Fall 2020",170,164,4,334,115,"IIT Roorkee","Electrical Engineering",7.71,0,0
"443","University of California, Riverside","Reject","Computer Science","Fall 2019",167,157,3,324,101,"IIT Roorkee","Computer Science",6.4,1,79
"444","Arizona State University","Admit","Electrical Engineering","Fall 2016",167,160,4,327,107,"IIT Roorkee","Electrical Engineering",7.8,0,0
"445","University of California, Irvine","Reject","Computer Science","Fall 2020",170,164,4,334,115,"IIT Roorkee","Electrical Engineering",7.71,0,0
"446","Georgia Institute of Technology","Reject","Chemical Engineering","Fall 2017",167,155,3,322,106,"IIT Roorkee","Chemical Engineering",8.21,0,13
"447","Ohio State University","Reject","Computer Science","Fall 2019",167,154,3.5,321,105,"IIT Roorkee","Electrical Engineering",8.5,0,0
"448","University of Minnesota, Twin Cities","Admit","Computer Science","Fall 2019",169,155,3,324,110,"IIT Roorkee","Electrical Engineering",7.8,0,0
"449","North Carolina State University","Admit","Mechanical Engineering","Fall 2016",167,162,4,329,115,"IIT Roorkee","Mechanical Engineering",8.89,0,0
"450","University of Texas, Austin","Reject","Computer Science","Fall 2020",168,160,4.5,328,100,"IIT Roorkee","Electrical Engineering",7.61,1,31
"451","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2019",170,163,3.5,333,112,"IIT Roorkee","Metallurgical Engineering",8.36,0,0
"452","University of Washington","Reject","AI_ML_DS","Fall 2018",163,157,3.5,320,105,"IIT Roorkee","Mechanical Engineering",7.35,0,16
"453","University of Wisconsin, Madison","Reject","Computer Science","Fall 2016",170,160,4,330,115,"IIT Roorkee","Electrical Engineering",8.04,0,0
"454","Carnegie Mellon University","Admit","AI_ML_DS","Fall 2019",170,156,4.5,326,116,"IIT Roorkee","Computer Science",8.78,0,30
"455","Stanford University","Reject","Computer Science","Fall 2020",168,160,4.5,328,100,"IIT Roorkee","Electrical Engineering",7.61,1,31
"456","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2019",170,155,3,325,105,"IIT Roorkee","Computer Science",7.45,0,0
"457","University of California, San Diego","Reject","Computer Science","Fall 2019",167,155,3.5,322,105,"IIT Roorkee","Electrical Engineering",8.55,0,0
"458","University of Massachusetts, Amherst","Reject","Computer Science","Fall 2020",163,153,4.5,316,114,"IIT Roorkee","Electrical Engineering",7.87,0,0
"459","New York University","Reject","Computer Science","Fall 2017",170,162,3.5,332,110,"IIT Roorkee","Mechanical Engineering",6.6,0,0
"460","Pennsylvania State University","Reject","Computer Science","Fall 2020",170,164,4,334,115,"IIT Roorkee","Electrical Engineering",7.71,0,0
"461","University of Illinois, Urbana Champaign","Reject","Computer Science","Fall 2020",168,163,4,331,118,"IIT Roorkee","Electrical Engineering",8.8,0,29
"462","University of Texas, Austin","Admit","Computer Science","Fall 2020",170,158,4,328,113,"IIT Roorkee","Computer Science",9.52,0,18
"463","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2016",170,160,4,330,115,"IIT Roorkee","Electrical Engineering",8.04,0,0
"464","Columbia University","Admit","Mechanical Engineering","Fall 2016",169,158,4,327,113,"IIT Roorkee","Mechanical Engineering",8,0,0
"465","University of Massachusetts, Amherst","Reject","Computer Science","Fall 2018",165,160,4.5,325,114,"IIT Roorkee","Computer Science",6.65,2,30
"466","Virginia Tech University","Reject","Mechanical Engineering","Fall 2016",167,162,4,329,115,"IIT Roorkee","Mechanical Engineering",8.89,0,0
"467","University of Pennsylvania","Reject","Computer Science","Fall 2019",170,163,3.5,333,112,"IIT Roorkee","Metallurgical Engineering",8.36,0,0
"468","University of California, San Diego","Reject","Computer Science","Fall 2019",170,163,3.5,333,112,"IIT Roorkee","Metallurgical Engineering",8.36,0,0
"469","State University of New York, Stony Brook","Admit","Computer Science","Fall 2018",170,155,5,325,118,"IIT Roorkee","Electrical Engineering",7.48,0,18
"470","University of California, San Diego","Reject","Computer Science","Fall 2020",170,156,5,326,111,"IIT Roorkee","Electrical Engineering",9.53,0,0
"471","University of Florida, Gainesville","Admit","Materials Science & Engineering","Fall 2017",167,153,4,320,109,"IIT Roorkee","Civil Engineering",9.01,2,0
"472","University of Wisconsin, Madison","Reject","Computer Science","Fall 2019",169,151,3.5,320,112,"IIT Roorkee","Civil Engineering",8.75,0,18
"473","Princeton University","Reject","Computer Science","Fall 2020",168,160,4.5,328,100,"IIT Roorkee","Electrical Engineering",7.61,1,31
"474","Arizona State University","Admit","Computer Science","Fall 2017",170,157,2.5,327,109,"IIT Roorkee","Mechanical Engineering",7.68,0,0
"475","Stanford University","Admit","Computer Science","Fall 2019",170,159,4,329,111,"IIT Roorkee","Electrical Engineering",9.7,2,19
"476","Georgia Institute of Technology","Admit","Computer Science","Fall 2019",170,155,4,325,112,"IIT Roorkee","Electrical Engineering",8,0,18
